#U_B/V  I_A/nA
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.01
16,0.00
17,0.00
18,0.00
19,0.01
20,0.05
21,0.00
22,0.00
23,0.00
24,0.03
25,0.09
26,0.05
27,0.00
28,0.00
29,0.05
30,0.14
31,0.12
32,0.02
33,0.02
34,0.08
35,0.18
36,0.22
37,0.11
38,0.06
39,0.11
40,0.25
41,0.34
42,0.26
43,0.18
44,0.20
45,0.34
46,0.47
47,0.44
48,0.35
49,0.32
50,0.42
51,0.60
52,0.65
53,0.60
54,0.58
55,0.68
56,0.88
57,0.99
58,1.05
59,1.10
60,1.20
